UDI, Qualidade, TemperaturaDoAr[°C], TemperaturaDoProcesso[°C], VelocidadeDeRotacao[rpm], Torque[Nm], DesgasteDaFerramenta[min], Saida, TipoDefalha
1, Media, 24, 95, 1551, 42.8, 0, 0, SemFalha
2, Baixa, 25, 5, 1408, 46.3, 3, 0, SemFalha
3, Baixa, 24, 95, 1498, 49.4, 5, 0, SemFalha
4, Baixa, 25, 5, 1433, 39.5, 7, 0, SemFalha
5, Baixa, 25, 5, 1408, 40, 9, 0, SemFalha
6, Media, 24, 95, 1425, 41.9, 11, 0, SemFalha
7, Baixa, 24, 95, 1558, 42.4, 14, 0, SemFalha
8, Baixa, 24, 95, 1527, 40.2, 16, 0, SemFalha
9, Media, 25, 15, 1667, 28.6, 18, 0, SemFalha
10, Media, 25, 35, 1741, 28, 21, 0, SemFalha
11, Alta, 25, 25, 1782, 23.9, 24, 0, SemFalha
12, Alta, 25, 45, 1423, 44.3, 29, 0, SemFalha
13, Media, 25, 45, 1339, 51.1, 34, 0, SemFalha
14, Media, 25, 45, 1742, 30, 37, 0, SemFalha
15, Baixa, 25, 45, 2035, 19.6, 40, 0, SemFalha
16, Baixa, 25, 45, 1542, 48.4, 42, 0, SemFalha
17, Media, 25, 45, 1311, 46.6, 44, 0, SemFalha
18, Media, 25, 55, 1410, 45.6, 47, 0, SemFalha
19, Alta, 25, 65, 1306, 54.5, 50, 0, SemFalha
20, Media, 25, 75, 1632, 32.5, 55, 0, SemFalha
21, Alta, 25, 75, 1375, 42.7, 58, 0, SemFalha
22, Baixa, 25, 65, 1450, 44.8, 63, 0, SemFalha
23, Media, 25, 75, 1581, 30.7, 65, 0, SemFalha
24, Baixa, 25, 85, 1758, 25.7, 68, 0, SemFalha
25, Media, 25, 85, 1561, 37.3, 70, 0, SemFalha
26, Baixa, 25, 85, 1861, 23.3, 73, 0, SemFalha
27, Baixa, 25, 95, 1512, 39, 75, 0, SemFalha
28, Alta, 25, 95, 1811, 24.6, 77, 0, SemFalha
29, Baixa, 25, 95, 1439, 44.2, 82, 0, SemFalha
30, Baixa, 25, 85, 1693, 30.1, 84, 0, SemFalha
31, Media, 25, 95, 1339, 48.2, 86, 0, SemFalha
32, Baixa, 25, 85, 1798, 25.5, 89, 0, SemFalha
33, Baixa, 25, 85, 1419, 48.3, 91, 0, SemFalha
34, Baixa, 25, 75, 1665, 32.5, 93, 0, SemFalha
35, Media, 25, 65, 1559, 34.7, 95, 0, SemFalha
36, Media, 25, 65, 1452, 48.6, 98, 0, SemFalha
37, Media, 25, 75, 1581, 36.7, 101, 0, SemFalha
38, Baixa, 25, 65, 1439, 39.2, 104, 0, SemFalha
39, Alta, 25, 75, 1379, 50.7, 106, 0, SemFalha
40, Baixa, 25, 65, 1350, 52.5, 111, 0, SemFalha
41, Baixa, 25, 65, 1362, 45.4, 113, 0, SemFalha
42, Baixa, 25, 65, 1368, 50.8, 115, 0, SemFalha
43, Media, 25, 65, 1368, 49.1, 117, 0, SemFalha
44, Alta, 25, 65, 1372, 48.5, 120, 0, SemFalha
45, Media, 25, 65, 1472, 47.5, 125, 0, SemFalha
46, Baixa, 25, 65, 1489, 49.1, 128, 0, SemFalha
47, Media, 25, 55, 1843, 25.8, 130, 0, SemFalha
48, Baixa, 25, 65, 1418, 46.3, 133, 0, SemFalha
49, Alta, 25, 65, 1425, 53.9, 135, 0, SemFalha
50, Media, 25, 75, 1412, 44.1, 140, 0, SemFalha
51, Baixa, 25, 75, 2861, 4.6, 143, 1, Alimentacao
52, Baixa, 25, 75, 1383, 54.9, 145, 0, SemFalha
53, Alta, 25, 65, 1497, 43.8, 147, 0, SemFalha
54, Baixa, 25, 55, 1565, 35.1, 152, 0, SemFalha
55, Baixa, 25, 55, 1691, 30.1, 154, 0, SemFalha
56, Baixa, 25, 65, 1512, 40.7, 156, 0, SemFalha
57, Baixa, 25, 65, 1477, 42.4, 158, 0, SemFalha
58, Baixa, 25, 65, 1513, 40.3, 160, 0, SemFalha
59, Media, 25, 65, 1661, 29.5, 162, 0, SemFalha
60, Baixa, 25, 65, 1378, 54.4, 165, 0, SemFalha
61, Baixa, 25, 65, 1393, 52.6, 167, 0, SemFalha
62, Media, 25, 65, 1592, 38.2, 169, 0, SemFalha
63, Baixa, 25, 65, 1829, 22.9, 172, 0, SemFalha
64, Media, 25, 75, 1812, 25.9, 174, 0, SemFalha
65, Baixa, 25, 85, 1523, 38.6, 177, 0, SemFalha
66, Baixa, 25, 85, 1394, 45.1, 179, 0, SemFalha
67, Media, 25, 75, 1679, 28.7, 181, 0, SemFalha
68, Alta, 25, 65, 1466, 44.1, 184, 0, SemFalha
69, Baixa, 25, 65, 1527, 32.4, 189, 0, SemFalha
70, Baixa, 25, 75, 1410, 65.7, 191, 1, Alimentacao
71, Media, 25, 75, 1924, 22.6, 193, 0, SemFalha
72, Baixa, 25, 75, 1452, 45.5, 196, 0, SemFalha
73, Baixa, 25, 75, 1369, 44.4, 198, 0, SemFalha
74, Baixa, 25, 85, 1592, 35, 200, 0, SemFalha
75, Baixa, 25, 75, 1601, 32.3, 202, 0, SemFalha
76, Baixa, 25, 65, 1379, 46.7, 204, 0, SemFalha
77, Baixa, 25, 65, 1461, 47.9, 206, 0, SemFalha
78, Baixa, 25, 65, 1455, 41.3, 208, 1, Desgastedaferramenta
79, Baixa, 25, 65, 1398, 51.5, 0, 0, SemFalha
80, Baixa, 25, 65, 1402, 37.9, 2, 0, SemFalha
81, Alta, 25, 65, 1445, 49.9, 4, 0, SemFalha
82, Baixa, 25, 75, 1450, 47.5, 9, 0, SemFalha
83, Baixa, 25, 75, 1453, 40.8, 11, 0, SemFalha
84, Baixa, 25, 85, 1469, 40.1, 13, 0, SemFalha
85, Baixa, 25, 75, 1422, 47.6, 15, 0, SemFalha
86, Media, 25, 85, 1804, 26.8, 17, 0, SemFalha
87, Alta, 25, 85, 1436, 43.9, 20, 0, SemFalha
88, Baixa, 25, 85, 1544, 31.8, 25, 0, SemFalha
89, Media, 25, 85, 1419, 45.2, 27, 0, SemFalha
90, Media, 25, 75, 1487, 39.5, 30, 0, SemFalha
91, Baixa, 25, 75, 1753, 25.8, 33, 0, SemFalha
92, Baixa, 25, 75, 1830, 24.9, 35, 0, SemFalha
93, Media, 25, 75, 1727, 27.1, 37, 0, SemFalha
94, Baixa, 25, 95, 1450, 43, 40, 0, SemFalha
95, Baixa, 25, 85, 1622, 31.9, 42, 0, SemFalha
96, Media, 25, 85, 1351, 52.2, 44, 0, SemFalha
97, Media, 25, 85, 1575, 35.3, 47, 0, SemFalha
98, Media, 25, 75, 1750, 29.9, 50, 0, SemFalha
99, Baixa, 25, 75, 1529, 32.7, 53, 0, SemFalha
100, Baixa, 25, 65, 1523, 44.4, 55, 0, SemFalha
101, Baixa, 25, 65, 1852, 25, 57, 0, SemFalha
102, Baixa, 25, 65, 1991, 20.7, 59, 0, SemFalha
103, Baixa, 25, 65, 1555, 40.6, 61, 0, SemFalha
104, Media, 25, 65, 1441, 40.5, 63, 0, SemFalha
105, Baixa, 25, 65, 1450, 43.4, 66, 0, SemFalha
106, Baixa, 25, 65, 1591, 31.1, 68, 0, SemFalha
107, Baixa, 25, 65, 1445, 48.5, 70, 0, SemFalha
108, Media, 25, 65, 1497, 46.8, 72, 0, SemFalha
109, Alta, 25, 75, 1621, 32.7, 75, 0, SemFalha
110, Baixa, 25, 75, 1572, 34.1, 80, 0, SemFalha
111, Baixa, 25, 65, 1872, 22.5, 82, 0, SemFalha
112, Alta, 25, 55, 1499, 43.5, 84, 0, SemFalha
113, Media, 25, 65, 1498, 39.5, 89, 0, SemFalha
114, Media, 25, 65, 1486, 41.9, 92, 0, SemFalha
115, Baixa, 25, 65, 1680, 29.4, 95, 0, SemFalha
116, Baixa, 25, 65, 1431, 45.7, 97, 0, SemFalha
117, Baixa, 25, 75, 1564, 34.1, 99, 0, SemFalha
118, Baixa, 25, 65, 1599, 33, 101, 0, SemFalha
119, Media, 25, 65, 1707, 28.1, 103, 0, SemFalha
120, Baixa, 25, 55, 1467, 40.7, 106, 0, SemFalha
121, Baixa, 25, 75, 1433, 44.7, 108, 0, SemFalha
122, Baixa, 25, 75, 1558, 41.2, 110, 0, SemFalha
123, Baixa, 25, 85, 1310, 50.7, 112, 0, SemFalha
124, Baixa, 25, 75, 1546, 43.4, 114, 0, SemFalha
125, Baixa, 25, 75, 1727, 29.4, 116, 0, SemFalha
126, Baixa, 25, 75, 1560, 32.2, 118, 0, SemFalha
127, Baixa, 25, 85, 1329, 60.5, 120, 0, SemFalha
128, Baixa, 25, 75, 1413, 46.5, 122, 0, SemFalha
129, Baixa, 25, 85, 1587, 38.6, 124, 0, SemFalha
130, Baixa, 25, 75, 1559, 34.3, 126, 0, SemFalha
131, Baixa, 25, 65, 1473, 41.1, 128, 0, SemFalha
132, Baixa, 25, 65, 1737, 27.7, 130, 0, SemFalha
133, Media, 25, 55, 1441, 43.2, 132, 0, SemFalha
134, Media, 25, 55, 1430, 49.6, 135, 0, SemFalha
135, Baixa, 25, 65, 1369, 53, 138, 0, SemFalha
136, Media, 25, 65, 1711, 28.5, 140, 0, SemFalha
137, Alta, 25, 55, 1420, 45.7, 143, 0, SemFalha
138, Baixa, 25, 55, 1297, 55.3, 148, 0, SemFalha
139, Alta, 25, 65, 1449, 49.4, 150, 0, SemFalha
140, Baixa, 25, 65, 1268, 55.8, 155, 0, SemFalha
141, Baixa, 25, 65, 1511, 36.1, 157, 0, SemFalha
142, Baixa, 25, 55, 1544, 35.2, 159, 0, SemFalha
143, Media, 25, 45, 1778, 28.2, 161, 0, SemFalha
144, Alta, 25, 45, 1407, 50.5, 164, 0, SemFalha
145, Media, 25, 45, 1391, 42.4, 169, 0, SemFalha
146, Baixa, 25, 35, 1513, 33.6, 172, 0, SemFalha
147, Alta, 25, 35, 1612, 36.1, 174, 0, SemFalha
148, Baixa, 25, 25, 1515, 40.1, 179, 0, SemFalha
149, Media, 25, 15, 1379, 48, 181, 0, SemFalha
150, Baixa, 25, 25, 1473, 39.9, 184, 0, SemFalha
151, Baixa, 25, 25, 1422, 42.7, 186, 0, SemFalha
152, Media, 25, 25, 1463, 37.6, 188, 0, SemFalha
153, Media, 25, 25, 1584, 41, 191, 0, SemFalha
154, Baixa, 25, 25, 1850, 27, 194, 0, SemFalha
155, Baixa, 25, 25, 1528, 36.2, 196, 0, SemFalha
156, Alta, 25, 25, 1987, 19.8, 198, 0, SemFalha
157, Media, 25, 25, 1495, 46, 203, 0, SemFalha
158, Alta, 25, 25, 1478, 43.5, 206, 0, SemFalha
159, Media, 25, 25, 1499, 40, 211, 0, SemFalha
160, Baixa, 25, 25, 1471, 47, 214, 0, SemFalha
161, Baixa, 25, 25, 1282, 60.7, 216, 1, Sobrecarga
162, Baixa, 25, 15, 1412, 52.3, 218, 1, Sobrecarga
163, Baixa, 25, 15, 1586, 35.5, 0, 0, SemFalha
164, Media, 25, 25, 1468, 43.8, 2, 0, SemFalha
165, Media, 25, 35, 1440, 43.6, 5, 0, SemFalha
166, Baixa, 25, 35, 1733, 26, 8, 0, SemFalha
167, Alta, 25, 25, 1612, 32.6, 10, 0, SemFalha
168, Alta, 25, 25, 1458, 42.9, 15, 0, SemFalha
169, Baixa, 25, 25, 1433, 62.3, 20, 1, Alimentacao
170, Baixa, 25, 25, 1318, 59.1, 22, 0, SemFalha
171, Media, 25, 25, 1610, 35, 24, 0, SemFalha
172, Baixa, 25, 5, 1462, 50.8, 27, 0, SemFalha
173, Media, 24, 95, 1924, 20.8, 29, 0, SemFalha
174, Media, 25, 5, 1591, 33.7, 32, 0, SemFalha
175, Baixa, 25, 5, 1306, 58.3, 35, 0, SemFalha
176, Baixa, 25, 5, 1382, 43.5, 37, 0, SemFalha
177, Baixa, 25, 5, 1618, 34.7, 39, 0, SemFalha
178, Baixa, 25, 5, 1988, 21.4, 41, 0, SemFalha
179, Baixa, 25, 5, 1436, 50.2, 43, 0, SemFalha
180, Baixa, 25, 5, 1304, 49.8, 45, 0, SemFalha
181, Baixa, 25, 5, 1475, 49.9, 47, 0, SemFalha
182, Alta, 25, 5, 1824, 24.2, 49, 0, SemFalha
183, Media, 24, 95, 1342, 48.1, 54, 0, SemFalha
184, Baixa, 24, 95, 1485, 40.7, 57, 0, SemFalha
185, Baixa, 25, 5, 1667, 30.6, 59, 0, SemFalha
186, Baixa, 25, 5, 1446, 38.2, 61, 0, SemFalha
187, Baixa, 24, 95, 1301, 56, 63, 0, SemFalha
188, Baixa, 25, 5, 1379, 43.1, 65, 0, SemFalha
189, Baixa, 25, 15, 1606, 33.6, 67, 0, SemFalha
190, Media, 25, 15, 1539, 43.4, 69, 0, SemFalha
191, Baixa, 25, 5, 1477, 49.9, 72, 0, SemFalha
192, Baixa, 25, 5, 1666, 34.6, 74, 0, SemFalha
193, Alta, 25, 5, 1398, 51.8, 76, 0, SemFalha
194, Alta, 25, 5, 1678, 34.6, 81, 0, SemFalha
195, Media, 25, 5, 2678, 10.7, 86, 1, Alimentacao
196, Baixa, 25, 15, 1453, 42.9, 89, 0, SemFalha
197, Alta, 25, 15, 1432, 49.5, 91, 0, SemFalha
198, Media, 25, 25, 1527, 40.9, 96, 0, SemFalha
199, Baixa, 25, 25, 1588, 35, 99, 0, SemFalha
200, Baixa, 25, 25, 1433, 47.1, 101, 0, SemFalha
201, Baixa, 25, 25, 1609, 35, 103, 0, SemFalha
202, Baixa, 25, 15, 1575, 41.2, 105, 0, SemFalha
203, Media, 25, 25, 1636, 35.7, 107, 0, SemFalha
204, Baixa, 25, 25, 1490, 37.9, 110, 0, SemFalha
205, Baixa, 25, 25, 1741, 32.8, 112, 0, SemFalha
206, Media, 25, 35, 1344, 53, 114, 0, SemFalha
207, Baixa, 25, 35, 1609, 35.3, 117, 0, SemFalha
208, Media, 25, 25, 1421, 60.7, 119, 1, Alimentacao
209, Baixa, 25, 25, 1591, 36.7, 122, 0, SemFalha
210, Baixa, 25, 25, 1477, 44, 124, 0, SemFalha
211, Baixa, 25, 25, 1523, 36.1, 126, 0, SemFalha
212, Baixa, 25, 35, 1575, 33.9, 128, 0, SemFalha
213, Alta, 25, 25, 1344, 52.9, 130, 0, SemFalha
214, Baixa, 25, 25, 1386, 44.9, 135, 0, SemFalha
215, Media, 25, 15, 1589, 37.1, 137, 0, SemFalha
216, Baixa, 25, 15, 1548, 40.3, 140, 0, SemFalha
217, Baixa, 25, 15, 1499, 38.3, 142, 0, SemFalha
218, Baixa, 25, 15, 1664, 31.6, 144, 0, SemFalha
219, Baixa, 25, 15, 1447, 38.1, 146, 0, SemFalha
220, Media, 25, 15, 1434, 46.2, 148, 0, SemFalha
221, Baixa, 25, 15, 1416, 52.7, 151, 0, SemFalha
222, Alta, 25, 25, 1827, 24.3, 153, 0, SemFalha
223, Baixa, 25, 25, 1304, 45, 158, 0, SemFalha
224, Baixa, 25, 25, 1569, 34.4, 160, 0, SemFalha
225, Baixa, 25, 15, 1584, 29.3, 162, 0, SemFalha
226, Baixa, 25, 15, 1362, 53.8, 164, 0, SemFalha
227, Baixa, 25, 15, 1329, 49.2, 166, 0, SemFalha
228, Baixa, 25, 15, 1539, 36.1, 168, 0, SemFalha
229, Media, 25, 15, 1629, 37.1, 170, 0, SemFalha
230, Baixa, 25, 15, 1538, 32.2, 173, 0, SemFalha
231, Baixa, 25, 15, 1570, 34.8, 175, 0, SemFalha
232, Baixa, 25, 15, 1408, 43.1, 177, 0, SemFalha
233, Baixa, 25, 5, 1424, 47.6, 179, 0, SemFalha
234, Baixa, 25, 5, 1512, 34.9, 181, 0, SemFalha
235, Baixa, 25, 5, 1478, 42.9, 183, 0, SemFalha
236, Media, 24, 95, 1680, 33.7, 185, 0, SemFalha
237, Baixa, 24, 95, 1495, 38.7, 188, 0, SemFalha
