UDI, TemperaturaDoAr[°C], TemperaturaDoProcesso[°C], VelocidadeDeRotacao[rpm], Torque[Nm], DesgasteDaFerramenta[min], Saida
1,24,95,1551, 42.8,0,0
2,25,5,1408, 46.3,3,0
3,24,95,1498, 49.4,5,0
4,25,5,1433, 39.5,7,0
5,25,5,1408,40,9,0
6,24,95,1425, 41.9,11,0
7,24,95,1558, 42.4,14,0
8,24,95,1527, 40.2,16,0
9,25,15,1667, 28.6,18,0
10,25,35,1741,28,21,0
11,25,25,1782, 23.9,24,0
12,25,45,1423, 44.3,29,0
13,25,45,1339, 51.1,34,0
14,25,45,1742,30,37,0
15,25,45,2035, 19.6,40,0
16,25,45,1542, 48.4,42,0
17,25,45,1311, 46.6,44,0
18,25,55,1410, 45.6,47,0
19,25,65,1306, 54.5,50,0
20,25,75,1632, 32.5,55,0
21,25,75,1375, 42.7,58,0
22,25,65,1450, 44.8,63,0
23,25,75,1581, 30.7,65,0
24,25,85,1758, 25.7,68,0
25,25,85,1561, 37.3,70,0
26,25,85,1861, 23.3,73,0
27,25,95,1512,39,75,0
28,25,95,1811, 24.6,77,0
29,25,95,1439, 44.2,82,0
30,25,85,1693, 30.1,84,0
31,25,95,1339, 48.2,86,0
32,25,85,1798, 25.5,89,0
33,25,85,1419, 48.3,91,0
34,25,75,1665, 32.5,93,0
35,25,65,1559, 34.7,95,0
36,25,65,1452, 48.6,98,0
37,25,75,1581, 36.7,101,0
38,25,65,1439, 39.2,104,0
39,25,75,1379, 50.7,106,0
40,25,65,1350, 52.5,111,0
41,25,65,1362, 45.4,113,0
42,25,65,1368, 50.8,115,0
43,25,65,1368, 49.1,117,0
44,25,65,1372, 48.5,120,0
45,25,65,1472, 47.5,125,0
46,25,65,1489, 49.1,128,0
47,25,55,1843, 25.8,130,0
48,25,65,1418, 46.3,133,0
49,25,65,1425, 53.9,135,0
50,25,75,1412, 44.1,140,0
51,25,75,2861, 4.6,143,1
52,25,75,1383, 54.9,145,0
53,25,65,1497, 43.8,147,0
54,25,55,1565, 35.1,152,0
55,25,55,1691, 30.1,154,0
56,25,65,1512, 40.7,156,0
57,25,65,1477, 42.4,158,0
58,25,65,1513, 40.3,160,0
59,25,65,1661, 29.5,162,0
60,25,65,1378, 54.4,165,0
61,25,65,1393, 52.6,167,0
62,25,65,1592, 38.2,169,0
63,25,65,1829, 22.9,172,0
64,25,75,1812, 25.9,174,0
65,25,85,1523, 38.6,177,0
66,25,85,1394, 45.1,179,0
67,25,75,1679, 28.7,181,0
68,25,65,1466, 44.1,184,0
69,25,65,1527, 32.4,189,0
70,25,75,1410, 65.7,191,1
71,25,75,1924, 22.6,193,0
72,25,75,1452, 45.5,196,0
73,25,75,1369, 44.4,198,0
74,25,85,1592,35,200,0
75,25,75,1601, 32.3,202,0
76,25,65,1379, 46.7,204,0
77,25,65,1461, 47.9,206,0
78,25,65,1455, 41.3,208,1
79,25,65,1398, 51.5,0,0
80,25,65,1402, 37.9,2,0
81,25,65,1445, 49.9,4,0
82,25,75,1450, 47.5,9,0
83,25,75,1453, 40.8,11,0
84,25,85,1469, 40.1,13,0
85,25,75,1422, 47.6,15,0
86,25,85,1804, 26.8,17,0
87,25,85,1436, 43.9,20,0
88,25,85,1544, 31.8,25,0
89,25,85,1419, 45.2,27,0
90,25,75,1487, 39.5,30,0
91,25,75,1753, 25.8,33,0
92,25,75,1830, 24.9,35,0
93,25,75,1727, 27.1,37,0
94,25,95,1450,43,40,0
95,25,85,1622, 31.9,42,0
96,25,85,1351, 52.2,44,0
97,25,85,1575, 35.3,47,0
98,25,75,1750, 29.9,50,0
99,25,75,1529, 32.7,53,0
100,25,65,1523, 44.4,55,0
101,25,65,1852,25,57,0
102,25,65,1991, 20.7,59,0
103,25,65,1555, 40.6,61,0
104,25,65,1441, 40.5,63,0
105,25,65,1450, 43.4,66,0
106,25,65,1591, 31.1,68,0
107,25,65,1445, 48.5,70,0
108,25,65,1497, 46.8,72,0
109,25,75,1621, 32.7,75,0
110,25,75,1572, 34.1,80,0
111,25,65,1872, 22.5,82,0
112,25,55,1499, 43.5,84,0
113,25,65,1498, 39.5,89,0
114,25,65,1486, 41.9,92,0
115,25,65,1680, 29.4,95,0
116,25,65,1431, 45.7,97,0
117,25,75,1564, 34.1,99,0
118,25,65,1599,33,101,0
119,25,65,1707, 28.1,103,0
120,25,55,1467, 40.7,106,0
121,25,75,1433, 44.7,108,0
122,25,75,1558, 41.2,110,0
123,25,85,1310, 50.7,112,0
124,25,75,1546, 43.4,114,0
125,25,75,1727, 29.4,116,0
126,25,75,1560, 32.2,118,0
127,25,85,1329, 60.5,120,0
128,25,75,1413, 46.5,122,0
129,25,85,1587, 38.6,124,0
130,25,75,1559, 34.3,126,0
131,25,65,1473, 41.1,128,0
132,25,65,1737, 27.7,130,0
133,25,55,1441, 43.2,132,0
134,25,55,1430, 49.6,135,0
135,25,65,1369,53,138,0
136,25,65,1711, 28.5,140,0
137,25,55,1420, 45.7,143,0
138,25,55,1297, 55.3,148,0
139,25,65,1449, 49.4,150,0
140,25,65,1268, 55.8,155,0
141,25,65,1511, 36.1,157,0
142,25,55,1544, 35.2,159,0
143,25,45,1778, 28.2,161,0
144,25,45,1407, 50.5,164,0
145,25,45,1391, 42.4,169,0
146,25,35,1513, 33.6,172,0
147,25,35,1612, 36.1,174,0
148,25,25,1515, 40.1,179,0
149,25,15,1379,48,181,0
150,25,25,1473, 39.9,184,0
151,25,25,1422, 42.7,186,0
152,25,25,1463, 37.6,188,0
153,25,25,1584,41,191,0
154,25,25,1850,27,194,0
155,25,25,1528, 36.2,196,0
156,25,25,1987, 19.8,198,0
157,25,25,1495,46,203,0
158,25,25,1478, 43.5,206,0
159,25,25,1499,40,211,0
160,25,25,1471,47,214,0
161,25,25,1282, 60.7,216,1
162,25,15,1412, 52.3,218,1
163,25,15,1586, 35.5,0,0
164,25,25,1468, 43.8,2,0
165,25,35,1440, 43.6,5,0
166,25,35,1733,26,8,0
167,25,25,1612, 32.6,10,0
168,25,25,1458, 42.9,15,0
169,25,25,1433, 62.3,20,1
170,25,25,1318, 59.1,22,0
171,25,25,1610,35,24,0
172,25,5,1462, 50.8,27,0
173,24,95,1924, 20.8,29,0
174,25,5,1591, 33.7,32,0
175,25,5,1306, 58.3,35,0
176,25,5,1382, 43.5,37,0
177,25,5,1618, 34.7,39,0
178,25,5,1988, 21.4,41,0
179,25,5,1436, 50.2,43,0
180,25,5,1304, 49.8,45,0
181,25,5,1475, 49.9,47,0
182,25,5,1824, 24.2,49,0
183,24,95,1342, 48.1,54,0
184,24,95,1485, 40.7,57,0
185,25,5,1667, 30.6,59,0
186,25,5,1446, 38.2,61,0
187,24,95,1301,56,63,0
188,25,5,1379, 43.1,65,0
189,25,15,1606, 33.6,67,0
190,25,15,1539, 43.4,69,0
191,25,5,1477, 49.9,72,0
192,25,5,1666, 34.6,74,0
193,25,5,1398, 51.8,76,0
194,25,5,1678, 34.6,81,0
195,25,5,2678, 10.7,86,1
196,25,15,1453, 42.9,89,0
197,25,15,1432, 49.5,91,0
198,25,25,1527, 40.9,96,0
199,25,25,1588,35,99,0
200,25,25,1433, 47.1,101,0
201,25,25,1609,35,103,0
202,25,15,1575, 41.2,105,0
203,25,25,1636, 35.7,107,0
204,25,25,1490, 37.9,110,0
205,25,25,1741, 32.8,112,0
206,25,35,1344,53,114,0
